booking_date,flight_date,route,fare_class,customer_type,lead_time,no_show_probability,no_show
2025-05-19,2025-05-25,NYC-LON,Economy,Business,6,0.219,0
2025-04-05,2025-06-03,NYC-LON,Economy,Leisure,59,0.194,0
2025-09-23,2025-09-27,SEA-PDX,First,Leisure,4,0.079,0
2025-05-07,2025-07-27,ORD-MIA,Economy,Leisure,81,0.162,1
2025-09-15,2025-09-18,LAX-MIA,Economy,Business,3,0.24,1
2025-09-04,2025-10-10,LAX-MIA,First,Leisure,36,0.056,0
2025-04-09,2025-04-13,NYC-LON,Economy,Business,4,0.182,0
2025-05-08,2025-05-11,LAX-MIA,Economy,Business,3,0.212,0
2025-09-10,2025-09-27,PHX-LAS,Economy,Leisure,17,0.196,0
2025-04-13,2025-04-14,CHI-DEN,Economy,Leisure,1,0.382,0
2025-07-18,2025-07-23,CHI-DEN,Economy,Business,5,0.182,1
2025-06-03,2025-06-19,SFO-LAX,Economy,Leisure,16,0.196,0
2025-05-08,2025-06-22,SFO-LAX,Business,Leisure,45,0.091,0
2025-05-25,2025-06-11,NYC-LON,Business,Leisure,17,0.129,0
2025-04-30,2025-05-11,MIA-ATL,Economy,Leisure,11,0.203,0
2025-08-05,2025-08-09,NYC-LON,Economy,Business,4,0.235,1
2025-04-24,2025-04-30,DFW-LAX,Economy,Business,6,0.181,0
2025-07-15,2025-08-15,ATL-DFW,Economy,Leisure,31,0.163,0
2025-08-17,2025-08-28,DEN-SEA,Economy,Business,11,0.115,0
2025-06-27,2025-07-25,CHI-DEN,Economy,Business,28,0.126,0
2025-04-21,2025-05-11,JFK-SFO,Economy,Business,20,0.138,0
2025-06-20,2025-06-27,ATL-DFW,Economy,Leisure,7,0.361,0
2025-07-27,2025-08-02,CHI-DEN,Business,Business,6,0.1,0
2025-08-06,2025-10-02,SEA-PDX,Business,Leisure,57,0.095,0
2025-08-14,2025-08-20,CHI-DEN,Economy,Leisure,6,0.445,1
2025-08-05,2025-08-14,LAX-MIA,Economy,Leisure,9,0.278,1
2025-05-28,2025-06-08,BOS-DCA,Economy,Leisure,11,0.229,0
2025-05-25,2025-06-07,PHX-LAS,Economy,Leisure,13,0.196,1
2025-09-11,2025-09-16,ATL-DFW,Economy,Business,5,0.151,0
2025-04-10,2025-05-09,NYC-LON,Business,Leisure,29,0.134,1
2025-07-21,2025-10-05,LAS-PHX,Economy,Leisure,76,0.178,0
2025-07-21,2025-07-24,BOS-DCA,Business,Business,3,0.079,0
2025-04-07,2025-06-12,BOS-DCA,Economy,Business,66,0.085,1
2025-07-15,2025-08-31,BOS-DCA,First,Leisure,47,0.041,0
2025-07-24,2025-10-14,PHX-LAS,Economy,Business,82,0.086,1
2025-05-19,2025-06-09,CHI-DEN,Business,Leisure,21,0.154,0
2025-06-28,2025-07-23,BOS-DCA,Economy,Leisure,25,0.221,0
2025-08-11,2025-09-22,LAX-MIA,Economy,Leisure,42,0.224,0
2025-08-08,2025-10-19,NYC-LON,Economy,Leisure,72,0.19,0
2025-07-01,2025-07-23,ORD-MIA,Economy,Leisure,22,0.242,0
2025-09-05,2025-09-16,ORD-MIA,Economy,Business,11,0.104,0
2025-08-19,2025-09-14,JFK-SFO,First,Business,26,0.036,0
2025-09-03,2025-09-16,LAX-MIA,Economy,Leisure,13,0.227,0
2025-04-29,2025-05-09,NYC-LON,Economy,Leisure,10,0.25,0
2025-09-22,2025-09-24,SEA-PDX,First,Leisure,2,0.087,0
2025-09-19,2025-10-04,LAX-MIA,Business,Business,15,0.058,0
2025-07-07,2025-07-14,NYC-LON,Business,Leisure,7,0.195,0
2025-06-04,2025-07-26,BWI-ORD,Economy,Leisure,52,0.162,0
2025-06-12,2025-06-14,SEA-PDX,Economy,Leisure,2,0.327,1
2025-06-22,2025-08-16,JFK-SFO,Economy,Leisure,55,0.153,0
2025-04-07,2025-04-14,NYC-LON,Economy,Leisure,7,0.368,0
2025-05-25,2025-06-23,BOS-DCA,Economy,Leisure,29,0.249,0
2025-04-21,2025-05-02,SFO-LAX,Economy,Business,11,0.14,0
2025-04-21,2025-04-24,PHX-LAS,First,Business,3,0.046,0
2025-05-06,2025-05-29,LAX-MIA,Economy,Leisure,23,0.299,0
2025-04-05,2025-06-24,SFO-LAX,Business,Business,80,0.045,0
2025-07-10,2025-07-11,NYC-LON,Economy,Business,1,0.19,0
2025-07-05,2025-07-14,NYC-LON,Economy,Leisure,9,0.24,0
2025-04-17,2025-04-23,NYC-LON,Business,Business,6,0.1,0
2025-07-16,2025-08-08,ATL-DFW,Economy,Leisure,23,0.178,0
2025-09-08,2025-10-15,CHI-DEN,Economy,Leisure,37,0.221,1
2025-06-18,2025-07-17,JFK-SFO,Business,Leisure,29,0.116,0
2025-06-10,2025-07-08,LAX-MIA,Business,Leisure,28,0.142,0
2025-05-02,2025-05-08,JFK-SFO,Economy,Leisure,6,0.368,0
2025-07-22,2025-08-19,CHI-DEN,Business,Leisure,28,0.154,1
2025-04-12,2025-05-05,ORD-MIA,Business,Business,23,0.063,0
2025-07-14,2025-07-16,SFO-LAX,Economy,Leisure,2,0.292,0
2025-04-30,2025-06-28,LAX-MIA,First,Leisure,59,0.042,0
2025-09-14,2025-09-24,ATL-DFW,First,Leisure,10,0.061,0
2025-04-09,2025-06-02,PHX-LAS,Business,Leisure,54,0.087,0
2025-04-23,2025-05-23,CHI-DEN,Economy,Leisure,30,0.206,0
2025-04-14,2025-05-08,LAX-MIA,Economy,Leisure,24,0.257,0
2025-06-11,2025-06-16,NYC-LON,Economy,Leisure,5,0.342,0
2025-08-06,2025-08-27,NYC-LON,Economy,Leisure,21,0.219,0
2025-05-29,2025-07-07,LAS-PHX,Economy,Leisure,39,0.191,0
2025-04-27,2025-05-10,BOS-DCA,Economy,Leisure,13,0.197,0
2025-04-21,2025-05-11,CHI-DEN,Economy,Leisure,20,0.231,0
2025-06-28,2025-07-10,NYC-LON,Economy,Leisure,12,0.259,0
2025-05-06,2025-08-04,SFO-LAX,Economy,Business,90,0.109,0
2025-04-04,2025-04-10,BOS-DCA,First,Leisure,6,0.095,0
2025-08-25,2025-09-20,SFO-LAX,Economy,Leisure,26,0.257,0
2025-07-12,2025-07-20,SFO-LAX,Economy,Business,8,0.135,0
2025-08-13,2025-08-25,PHX-LAS,Economy,Business,12,0.139,1
2025-05-31,2025-06-07,BOS-DCA,Economy,Business,7,0.2,0
2025-05-16,2025-07-04,BOS-DCA,Economy,Business,49,0.097,0
2025-04-01,2025-04-09,SEA-PDX,Economy,Leisure,8,0.241,0
2025-07-28,2025-10-08,LAX-MIA,Economy,Leisure,72,0.181,0
2025-08-05,2025-08-07,BWI-ORD,Economy,Leisure,2,0.384,1
2025-09-13,2025-09-25,NYC-LON,Business,Business,12,0.068,0
2025-09-13,2025-09-16,SFO-LAX,Business,Leisure,3,0.2,0
2025-04-30,2025-05-30,LAX-MIA,Economy,Business,30,0.115,0
2025-06-09,2025-06-28,LAX-MIA,Economy,Business,19,0.131,0
2025-04-18,2025-07-10,SEA-PDX,Economy,Business,83,0.085,0
2025-04-12,2025-04-21,BOS-DCA,Economy,Leisure,9,0.276,0
2025-05-08,2025-06-01,PHX-LAS,Economy,Leisure,24,0.229,1
2025-04-10,2025-04-15,NYC-LON,Economy,Leisure,5,0.428,0
2025-04-16,2025-04-22,BOS-DCA,Economy,Leisure,6,0.398,1
2025-03-28,2025-05-25,BOS-DCA,Business,Leisure,58,0.081,0
2025-07-01,2025-07-02,NYC-LON,Business,Leisure,1,0.199,0
2025-07-19,2025-08-08,CHI-DEN,Economy,Leisure,20,0.261,0
2025-04-18,2025-04-24,SFO-LAX,Business,Business,6,0.111,1
2025-04-01,2025-04-23,LAX-MIA,Business,Business,22,0.06,0
2025-06-15,2025-08-03,LAS-PHX,Economy,Leisure,49,0.218,0
2025-04-11,2025-06-16,JFK-SFO,Economy,Business,66,0.104,0
2025-05-06,2025-05-25,NYC-LON,Business,Leisure,19,0.11,0
2025-04-19,2025-05-02,BOS-DCA,Economy,Business,13,0.139,0
2025-05-06,2025-05-23,BOS-DCA,Economy,Business,17,0.13,0
2025-06-24,2025-06-30,LAX-MIA,Economy,Business,6,0.182,0
2025-07-01,2025-07-27,NYC-LON,Economy,Leisure,26,0.305,1
2025-07-05,2025-07-07,SEA-PDX,Economy,Business,2,0.161,0
2025-07-01,2025-07-20,ATL-DFW,Economy,Business,19,0.12,1
2025-07-14,2025-08-08,NYC-LON,Business,Leisure,25,0.14,0
2025-05-17,2025-07-24,CHI-DEN,Economy,Leisure,68,0.21,0
2025-05-08,2025-07-01,CHI-DEN,Business,Leisure,54,0.118,0
2025-05-18,2025-06-11,NYC-LON,Economy,Leisure,24,0.307,0
2025-05-15,2025-05-17,NYC-LON,Business,Leisure,2,0.229,0
2025-05-23,2025-06-15,LAX-MIA,Economy,Business,23,0.148,0
2025-06-23,2025-09-18,NYC-LON,First,Business,87,0.03,0
2025-07-15,2025-08-09,SFO-LAX,Economy,Business,25,0.13,0
2025-09-04,2025-09-19,SFO-LAX,Economy,Leisure,15,0.233,0
2025-04-22,2025-04-24,CHI-DEN,Economy,Leisure,2,0.352,1
2025-08-14,2025-09-21,BOS-DCA,Economy,Business,38,0.085,0
2025-05-24,2025-05-26,BOS-DCA,Economy,Business,2,0.161,0
2025-08-20,2025-09-15,NYC-LON,Economy,Leisure,26,0.259,0
2025-05-02,2025-07-18,BOS-DCA,Economy,Business,77,0.099,0
2025-05-23,2025-05-30,CHI-DEN,Economy,Leisure,7,0.427,0
2025-05-16,2025-05-22,BOS-DCA,Business,Leisure,6,0.145,0
2025-08-21,2025-08-23,SFO-LAX,Business,Leisure,2,0.198,0
2025-08-09,2025-08-18,JFK-SFO,Economy,Leisure,9,0.196,0
2025-04-22,2025-05-21,BOS-DCA,Economy,Business,29,0.103,0
2025-07-27,2025-08-16,LAX-MIA,Business,Leisure,20,0.146,0
2025-06-07,2025-06-11,SEA-PDX,Business,Business,4,0.088,0
2025-07-20,2025-07-26,SEA-PDX,Economy,Leisure,6,0.318,0
2025-08-02,2025-08-21,NYC-LON,Economy,Leisure,19,0.233,0
2025-05-02,2025-05-31,CHI-DEN,Economy,Leisure,29,0.263,1
2025-05-03,2025-05-20,SFO-LAX,Business,Business,17,0.054,0
2025-08-24,2025-09-23,MIA-ATL,Economy,Leisure,30,0.261,0
2025-04-19,2025-05-30,CHI-DEN,Economy,Leisure,41,0.233,0
2025-04-23,2025-05-08,LAX-MIA,Economy,Leisure,15,0.302,0
2025-04-09,2025-06-17,NYC-LON,Business,Business,69,0.055,1
2025-04-08,2025-04-22,NYC-LON,Economy,Leisure,14,0.23,1
2025-09-14,2025-09-27,NYC-LON,Economy,Business,13,0.148,0
2025-08-03,2025-09-07,DEN-SEA,Economy,Leisure,35,0.192,0
2025-06-27,2025-07-24,LAS-PHX,Economy,Leisure,27,0.188,1
2025-05-17,2025-05-18,CHI-DEN,Economy,Business,1,0.209,0
2025-05-09,2025-06-08,CHI-DEN,Economy,Leisure,30,0.231,0
2025-05-29,2025-08-23,NYC-LON,Economy,Business,86,0.117,0
2025-04-03,2025-05-30,MIA-ATL,Economy,Business,57,0.114,0
2025-08-31,2025-10-22,NYC-LON,Business,Leisure,52,0.097,0
2025-07-17,2025-07-23,BOS-DCA,Business,Leisure,6,0.154,0
2025-07-18,2025-07-20,PHX-LAS,Business,Business,2,0.105,0
2025-09-03,2025-09-30,NYC-LON,Business,Leisure,27,0.147,0
2025-07-05,2025-10-01,SFO-LAX,Economy,Business,88,0.111,0
2025-06-14,2025-06-19,NYC-LON,Economy,Leisure,5,0.454,1
2025-06-27,2025-07-10,CHI-DEN,Economy,Leisure,13,0.238,1
2025-04-04,2025-04-09,NYC-LON,Economy,Leisure,5,0.338,1
2025-07-17,2025-08-05,NYC-LON,Economy,Leisure,19,0.283,0
2025-06-13,2025-06-15,SFO-LAX,First,Leisure,2,0.099,0
2025-07-25,2025-09-06,NYC-LON,First,Business,43,0.031,0
2025-05-19,2025-05-26,BOS-DCA,Economy,Business,7,0.188,0
2025-05-01,2025-05-02,BOS-DCA,Economy,Leisure,1,0.348,0
2025-05-31,2025-06-19,SFO-LAX,Business,Business,19,0.051,0
2025-04-03,2025-04-29,BOS-DCA,Economy,Leisure,26,0.214,0
2025-05-16,2025-08-11,NYC-LON,Economy,Leisure,87,0.244,0
2025-04-13,2025-05-11,SFO-LAX,Economy,Leisure,28,0.195,0
2025-07-05,2025-07-21,SFO-LAX,Economy,Leisure,16,0.26,0
2025-04-26,2025-05-09,NYC-LON,Economy,Leisure,13,0.274,0
2025-03-28,2025-04-17,NYC-LON,Economy,Leisure,20,0.262,1
2025-06-14,2025-07-21,LAX-MIA,Economy,Leisure,37,0.238,0
2025-07-22,2025-08-03,NYC-LON,Business,Business,12,0.074,0
2025-07-02,2025-07-27,DEN-SEA,Economy,Business,25,0.149,0
2025-04-25,2025-05-23,JFK-SFO,Economy,Leisure,28,0.237,0
2025-05-23,2025-07-21,LAX-MIA,Economy,Business,59,0.089,0
2025-08-20,2025-08-28,BOS-DCA,Economy,Leisure,8,0.215,0
2025-07-11,2025-09-15,LAX-MIA,Economy,Leisure,66,0.197,1
2025-04-11,2025-04-27,NYC-LON,Economy,Leisure,16,0.288,0
2025-03-30,2025-04-24,PHX-LAS,Economy,Leisure,25,0.204,0
2025-04-13,2025-05-13,BOS-DCA,Economy,Business,30,0.103,0
2025-08-07,2025-08-19,SEA-PDX,Business,Business,12,0.049,0
2025-06-28,2025-08-29,BWI-ORD,Economy,Leisure,62,0.174,0
2025-08-17,2025-08-24,CHI-DEN,Economy,Business,7,0.241,0
2025-06-18,2025-07-18,LAX-MIA,Business,Leisure,30,0.141,1
2025-05-29,2025-06-27,BWI-ORD,Economy,Leisure,29,0.216,0
2025-04-15,2025-06-20,SFO-LAX,Economy,Leisure,66,0.165,0
2025-04-06,2025-04-07,LAX-MIA,Economy,Business,1,0.232,0
2025-06-14,2025-06-23,SFO-LAX,Economy,Leisure,9,0.202,0
2025-07-22,2025-07-23,BOS-DCA,Economy,Leisure,1,0.387,1
2025-06-24,2025-09-13,NYC-LON,Economy,Business,81,0.113,0
2025-06-27,2025-07-11,NYC-LON,Economy,Leisure,14,0.232,1
2025-06-03,2025-06-26,NYC-LON,Economy,Business,23,0.151,0
2025-04-23,2025-05-03,SFO-LAX,Economy,Leisure,10,0.238,0
2025-04-13,2025-07-09,NYC-LON,Business,Leisure,87,0.092,0
2025-04-08,2025-05-21,SFO-LAX,Economy,Leisure,43,0.196,0
2025-04-12,2025-05-11,NYC-LON,Business,Business,29,0.08,0
2025-05-22,2025-05-23,SFO-LAX,Business,Leisure,1,0.177,0
2025-07-20,2025-07-22,SFO-LAX,Economy,Leisure,2,0.31,0
2025-09-03,2025-09-22,SFO-LAX,Business,Leisure,19,0.111,0
2025-04-19,2025-04-20,SEA-PDX,Business,Business,1,0.075,0
2025-08-29,2025-09-12,NYC-LON,Economy,Leisure,14,0.303,0
2025-05-04,2025-06-01,SFO-LAX,Economy,Leisure,28,0.227,1
2025-08-08,2025-09-06,NYC-LON,First,Leisure,29,0.061,0
2025-07-02,2025-07-30,CHI-DEN,Business,Leisure,28,0.132,0
2025-05-06,2025-05-28,CHI-DEN,Economy,Leisure,22,0.307,0
2025-05-14,2025-05-17,NYC-LON,First,Business,3,0.048,0
2025-03-31,2025-06-02,SFO-LAX,Business,Business,63,0.041,0
2025-08-19,2025-08-24,LAX-MIA,Economy,Business,5,0.214,0
2025-07-30,2025-10-19,CHI-DEN,Economy,Leisure,81,0.223,0
2025-08-30,2025-09-25,LAX-MIA,Business,Leisure,26,0.12,0
2025-06-04,2025-08-29,ATL-DFW,Business,Leisure,86,0.099,0
2025-04-15,2025-04-24,LAX-MIA,Economy,Business,9,0.15,0
2025-04-04,2025-04-26,SEA-PDX,Economy,Business,22,0.11,0
2025-08-17,2025-08-18,CHI-DEN,Business,Leisure,1,0.175,0
2025-06-04,2025-06-16,CHI-DEN,Economy,Business,12,0.143,0
2025-05-12,2025-05-13,LAX-MIA,Economy,Leisure,1,0.398,1
2025-06-10,2025-06-28,LAX-MIA,Economy,Leisure,18,0.223,0
2025-06-02,2025-06-17,NYC-LON,Economy,Leisure,15,0.294,1
2025-09-10,2025-09-15,DEN-SEA,Business,Leisure,5,0.141,0
2025-08-26,2025-09-13,NYC-LON,Economy,Business,18,0.14,0
2025-05-23,2025-08-06,BOS-DCA,Economy,Leisure,75,0.199,1
2025-08-11,2025-08-13,ATL-DFW,Economy,Business,2,0.181,1
2025-06-16,2025-07-15,LAX-MIA,Economy,Business,29,0.16,0
2025-06-18,2025-09-14,LAX-MIA,Business,Leisure,88,0.09,0
2025-05-29,2025-07-01,LAX-MIA,Economy,Business,33,0.106,0
2025-06-27,2025-07-14,LAX-MIA,First,Leisure,17,0.072,0
2025-06-16,2025-07-18,MIA-ATL,Business,Business,32,0.047,0
2025-08-19,2025-08-23,SFO-LAX,Economy,Leisure,4,0.377,0
2025-04-30,2025-05-03,DFW-LAX,Economy,Leisure,3,0.31,1
2025-05-08,2025-05-20,LAX-MIA,Business,Leisure,12,0.11,0
2025-08-17,2025-08-30,LAX-MIA,Economy,Leisure,13,0.218,0
2025-08-17,2025-11-12,LAS-PHX,First,Business,87,0.028,0
2025-04-13,2025-04-27,NYC-LON,Economy,Leisure,14,0.269,1
2025-05-01,2025-05-16,BOS-DCA,Economy,Leisure,15,0.232,0
2025-04-22,2025-05-05,ORD-MIA,Economy,Business,13,0.111,1
2025-09-20,2025-11-04,SEA-PDX,First,Leisure,45,0.035,0
2025-06-03,2025-06-21,ORD-MIA,Business,Leisure,18,0.13,0
2025-06-18,2025-07-14,SFO-LAX,Economy,Leisure,26,0.261,0
2025-05-31,2025-08-26,BWI-ORD,Economy,Business,87,0.11,0
2025-05-14,2025-06-26,LAX-MIA,Economy,Business,43,0.125,0
2025-06-07,2025-06-08,BOS-DCA,Business,Leisure,1,0.186,1
2025-05-18,2025-05-25,SFO-LAX,Business,Leisure,7,0.168,0
2025-09-17,2025-09-22,DFW-LAX,Business,Leisure,5,0.147,0
2025-04-10,2025-06-25,SEA-PDX,Economy,Leisure,76,0.178,1
2025-06-17,2025-08-26,MIA-ATL,Economy,Business,70,0.112,0
2025-05-02,2025-06-12,ORD-MIA,Economy,Leisure,41,0.181,0
2025-06-01,2025-06-03,NYC-LON,Economy,Business,2,0.218,0
2025-05-29,2025-06-06,SFO-LAX,Economy,Business,8,0.134,0
2025-06-02,2025-06-07,NYC-LON,Business,Business,5,0.109,0
2025-08-01,2025-08-03,NYC-LON,Economy,Business,2,0.169,0
2025-04-22,2025-04-23,NYC-LON,Economy,Business,1,0.222,0
2025-03-30,2025-04-24,NYC-LON,Economy,Leisure,25,0.302,1
2025-07-09,2025-09-30,NYC-LON,Economy,Leisure,83,0.189,1
2025-03-30,2025-04-20,SFO-LAX,Economy,Leisure,21,0.197,0
2025-04-15,2025-05-15,SFO-LAX,Business,Leisure,30,0.114,0
2025-07-19,2025-09-10,DEN-SEA,Economy,Leisure,53,0.204,0
2025-08-08,2025-08-25,BWI-ORD,Economy,Business,17,0.132,1
2025-08-01,2025-09-27,NYC-LON,Economy,Leisure,57,0.182,0
2025-03-31,2025-04-07,NYC-LON,Economy,Leisure,7,0.427,1
2025-06-30,2025-09-08,LAS-PHX,Business,Business,70,0.057,0
2025-05-24,2025-08-04,NYC-LON,Economy,Leisure,72,0.236,0
2025-05-28,2025-06-06,PHX-LAS,Economy,Leisure,9,0.217,0
2025-08-01,2025-08-20,NYC-LON,Economy,Leisure,19,0.241,0
2025-05-10,2025-05-30,NYC-LON,Economy,Leisure,20,0.238,0
2025-09-15,2025-09-16,CHI-DEN,Economy,Leisure,1,0.456,1
2025-07-08,2025-07-11,ATL-DFW,Business,Leisure,3,0.154,1
2025-05-23,2025-06-10,DEN-SEA,Business,Leisure,18,0.13,0
2025-08-29,2025-11-11,BWI-ORD,Economy,Business,74,0.096,0
2025-08-25,2025-08-26,BOS-DCA,Economy,Business,1,0.186,1
2025-05-13,2025-06-14,SFO-LAX,Economy,Leisure,32,0.174,0
2025-07-15,2025-09-26,NYC-LON,Economy,Business,73,0.089,0
2025-05-15,2025-05-20,LAX-MIA,Economy,Business,5,0.225,0
2025-07-23,2025-07-26,SFO-LAX,Economy,Leisure,3,0.299,0
2025-04-04,2025-04-08,NYC-LON,Economy,Business,4,0.216,0
2025-03-31,2025-04-17,LAX-MIA,Economy,Leisure,17,0.289,1
2025-05-27,2025-06-26,CHI-DEN,Economy,Leisure,30,0.279,0
2025-07-26,2025-08-22,LAX-MIA,Economy,Business,27,0.162,0
2025-07-02,2025-07-25,NYC-LON,Economy,Leisure,23,0.235,0
2025-04-29,2025-04-30,CHI-DEN,Business,Business,1,0.106,1
2025-07-08,2025-07-29,LAX-MIA,Economy,Business,21,0.138,1
2025-08-01,2025-08-22,SFO-LAX,Economy,Leisure,21,0.203,0
2025-04-30,2025-05-27,CHI-DEN,Economy,Leisure,27,0.224,0
2025-09-06,2025-10-03,ATL-DFW,Economy,Leisure,27,0.224,1
2025-08-19,2025-10-29,PHX-LAS,Business,Leisure,71,0.092,0
2025-04-19,2025-05-18,JFK-SFO,Economy,Leisure,29,0.251,0
2025-06-04,2025-07-10,SFO-LAX,Economy,Leisure,36,0.213,0
2025-09-08,2025-09-17,NYC-LON,Economy,Leisure,9,0.217,0
2025-09-16,2025-09-22,SFO-LAX,Economy,Leisure,6,0.338,0
2025-07-31,2025-08-14,SFO-LAX,Business,Business,14,0.061,0
2025-04-05,2025-04-06,NYC-LON,Economy,Leisure,1,0.384,0
2025-08-20,2025-08-26,ATL-DFW,Business,Leisure,6,0.17,0
2025-04-17,2025-04-22,CHI-DEN,Business,Business,5,0.093,0
2025-09-22,2025-11-07,SEA-PDX,Economy,Leisure,46,0.174,1
2025-09-14,2025-10-22,SFO-LAX,First,Business,38,0.028,0
2025-07-14,2025-08-10,NYC-LON,Economy,Leisure,27,0.305,1
2025-04-14,2025-05-11,NYC-LON,Economy,Leisure,27,0.254,0
2025-05-26,2025-06-14,LAS-PHX,Business,Business,19,0.051,0
2025-07-08,2025-07-17,BOS-DCA,Economy,Leisure,9,0.249,0
2025-04-17,2025-04-21,NYC-LON,Economy,Leisure,4,0.352,1
2025-07-14,2025-07-17,NYC-LON,Economy,Business,3,0.216,1
2025-06-01,2025-07-01,LAX-MIA,Economy,Leisure,30,0.209,0
2025-08-17,2025-11-09,CHI-DEN,First,Leisure,84,0.046,0
2025-04-13,2025-04-18,SEA-PDX,Economy,Leisure,5,0.348,1
2025-08-12,2025-09-04,SEA-PDX,Business,Leisure,23,0.1,0
2025-05-25,2025-05-30,ORD-MIA,Economy,Leisure,5,0.344,0
2025-05-11,2025-06-05,BOS-DCA,First,Leisure,25,0.068,0
2025-06-30,2025-07-07,NYC-LON,Economy,Business,7,0.231,0
2025-04-04,2025-04-22,BOS-DCA,First,Business,18,0.025,1
2025-09-06,2025-09-07,SFO-LAX,Economy,Business,1,0.206,0
2025-09-15,2025-09-16,NYC-LON,Economy,Leisure,1,0.342,0
2025-08-23,2025-09-19,NYC-LON,Economy,Leisure,27,0.264,0
2025-08-26,2025-09-17,BOS-DCA,Economy,Leisure,22,0.28,0
2025-03-30,2025-05-20,LAX-MIA,Business,Business,51,0.046,0
2025-09-08,2025-09-15,LAX-MIA,Economy,Leisure,7,0.452,0
2025-08-09,2025-09-03,ATL-DFW,Economy,Leisure,25,0.245,0
2025-08-28,2025-08-29,SFO-LAX,Economy,Leisure,1,0.407,1
2025-04-13,2025-04-14,BOS-DCA,Economy,Leisure,1,0.408,0
2025-05-15,2025-07-15,CHI-DEN,Business,Leisure,61,0.115,0
2025-09-23,2025-10-16,NYC-LON,Economy,Leisure,23,0.24,0
2025-09-09,2025-10-15,LAX-MIA,Business,Business,36,0.063,0
2025-07-11,2025-07-20,LAS-PHX,Economy,Business,9,0.12,1
2025-03-31,2025-04-28,CHI-DEN,Economy,Business,28,0.112,0
2025-07-24,2025-08-18,BOS-DCA,Economy,Leisure,25,0.263,0
2025-09-19,2025-09-20,LAX-MIA,Business,Leisure,1,0.171,0
2025-05-13,2025-06-07,NYC-LON,Economy,Leisure,25,0.21,1
2025-04-09,2025-04-14,NYC-LON,Business,Business,5,0.09,1
2025-07-07,2025-08-03,NYC-LON,Economy,Leisure,27,0.217,0
2025-04-19,2025-04-26,NYC-LON,Economy,Leisure,7,0.423,1
2025-08-24,2025-09-05,LAX-MIA,First,Business,12,0.028,0
2025-09-07,2025-09-09,SEA-PDX,Economy,Business,2,0.147,0
2025-04-28,2025-04-29,ATL-DFW,Economy,Business,1,0.147,0
2025-09-03,2025-09-05,DEN-SEA,Business,Leisure,2,0.16,0
2025-05-25,2025-06-22,LAX-MIA,Economy,Business,28,0.121,0
2025-04-24,2025-04-28,SFO-LAX,Economy,Leisure,4,0.323,0
2025-05-04,2025-05-05,BWI-ORD,First,Leisure,1,0.1,0
2025-05-17,2025-05-24,BOS-DCA,Economy,Business,7,0.16,1
2025-05-25,2025-06-03,NYC-LON,Economy,Business,9,0.125,0
2025-05-30,2025-06-05,NYC-LON,Economy,Business,6,0.169,0
2025-09-05,2025-11-12,SFO-LAX,Economy,Leisure,68,0.217,0
2025-08-26,2025-09-16,ORD-MIA,Economy,Business,21,0.125,0
2025-06-04,2025-06-09,CHI-DEN,Economy,Business,5,0.226,0
2025-07-16,2025-07-18,NYC-LON,Economy,Business,2,0.176,0
2025-06-08,2025-06-11,LAX-MIA,Economy,Business,3,0.232,0
2025-08-11,2025-08-26,NYC-LON,Business,Leisure,15,0.154,0
2025-05-28,2025-06-03,CHI-DEN,Business,Business,6,0.101,0
2025-04-25,2025-07-22,NYC-LON,First,Business,88,0.027,0
2025-09-15,2025-10-15,PHX-LAS,Economy,Business,30,0.129,1
2025-06-11,2025-06-28,LAX-MIA,First,Business,17,0.037,0
2025-05-29,2025-06-30,LAS-PHX,Economy,Business,32,0.109,0
2025-06-21,2025-07-22,ORD-MIA,Economy,Leisure,31,0.175,1
2025-06-06,2025-07-03,SFO-LAX,Business,Leisure,27,0.097,0
2025-09-09,2025-11-02,JFK-SFO,Economy,Business,54,0.106,0
2025-08-10,2025-10-15,SEA-PDX,Economy,Leisure,66,0.151,1
2025-05-24,2025-08-18,LAS-PHX,Economy,Leisure,86,0.167,0
2025-07-17,2025-07-26,NYC-LON,Economy,Leisure,9,0.26,1
2025-05-10,2025-05-27,CHI-DEN,Economy,Leisure,17,0.277,0
2025-09-07,2025-09-11,NYC-LON,Economy,Business,4,0.246,1
2025-08-12,2025-08-18,NYC-LON,Economy,Business,6,0.245,1
2025-06-09,2025-06-21,CHI-DEN,Economy,Leisure,12,0.208,1
2025-09-18,2025-10-12,BOS-DCA,Economy,Business,24,0.133,0
2025-04-25,2025-05-20,CHI-DEN,Economy,Business,25,0.155,0
2025-07-19,2025-07-22,LAS-PHX,Business,Business,3,0.089,0
2025-08-12,2025-09-06,LAX-MIA,First,Leisure,25,0.069,0
2025-08-15,2025-08-16,NYC-LON,Economy,Business,1,0.188,1
2025-05-03,2025-05-22,NYC-LON,Economy,Leisure,19,0.261,1
2025-09-17,2025-09-29,MIA-ATL,Business,Business,12,0.075,0
2025-05-17,2025-07-17,DFW-LAX,First,Leisure,61,0.056,0
2025-05-02,2025-06-23,BOS-DCA,Business,Leisure,52,0.08,0
2025-07-07,2025-07-12,PHX-LAS,Economy,Business,5,0.155,0
2025-04-27,2025-07-16,LAX-MIA,Economy,Leisure,80,0.201,0
2025-09-01,2025-09-24,LAX-MIA,Economy,Leisure,23,0.299,0
2025-08-17,2025-09-06,LAX-MIA,Economy,Business,20,0.165,0
2025-09-01,2025-09-05,SEA-PDX,Economy,Leisure,4,0.273,0
